,,Mineurs,,,,
,,écroués,Mineurs,Jeunes majeurs,,
,,détenus,écroués,sur des places,,Taux
,,sur des,détenus,mineurs,,d’occupation
Direction,,places,hors places,(uniquement,Places,des places
Interrégionale,Etablissement,mineurs,mineurs,pour les EPM),mineurs,mineurs
DISP,CP BORDEAUX,13,0,0,23,56.5%
BORDEAUX,GRADIGNAN,,,,,
DISP,MA ANGOULEME,6,0,0,9,66.7%
BORDEAUX,,,,,,
DISP,MA LIMOGES,4,0,0,10,40.0%
BORDEAUX,,,,,,
DISP,MA PAU,4,0,0,5,80.0%
BORDEAUX,,,,,,
DISP,Total Direction,27,0,0,47,57.4%
BORDEAUX,Interrégionale,,,,,
DISP DIJON,CP VARENNES LE,7,0,0,16,43.8%
,GRAND,,,,,
DISP DIJON,CSL BESANCON,0,0,0,1,0.0%
DISP DIJON,MA BESANCON,11,0,0,20,55.0%
DISP DIJON,MA BOURGES,2,0,0,4,50.0%
DISP DIJON,MA DIJON,3,0,0,11,27.3%
DISP DIJON,MA TOURS,8,0,0,10,80.0%
DISP DIJON,Total Direction,31,0,0,62,50.0%
,Interrégionale,,,,,
DISP LILLE,CP LAON,5,0,0,14,35.7%
DISP LILLE,CP LIANCOURT,5,0,0,20,25.0%
1 2,Effectifs mineurs garçons et filles confondus.,,,,,
,Certains mineurs écroués peuvent être temporairement hébergés en dehors des places mineurs pour des,,,,,
