,,,Mineurs,Mineurs,,,
,,,écroués,écroués,Jeunes majeurs sur,,Taux
,,,détenus sur,détenus,des places mineurs,,d’occupation
,Direction,,des places,hors places,(uniquement pour,Places,des places
,Interrégionale,Etablissement,mineurs,mineurs,les EPM),mineurs,mineurs
,DISP,CP BORDEAUX,13,0,0,23,56.5%
,BORDEAUX,GRADIGNAN,,,,,
,DISP,MA ANGOULEME,4,0,0,9,44.4%
,BORDEAUX,,,,,,
,DISP,MA LIMOGES,6,0,0,10,60.0%
,BORDEAUX,,,,,,
,DISP,MA PAU,3,0,0,5,60.0%
,BORDEAUX,,,,,,
,DISP,Total Direction,26,0,0,47,55.3%
,BORDEAUX,Interrégionale,,,,,
,DISP DIJON,CP VARENNES LE,9,0,0,15,60.0%
,,GRAND,,,,,
,DISP DIJON,CSL BESANCON,0,0,0,1,0.0%
,DISP DIJON,MA BESANCON,5,0,0,20,25.0%
,DISP DIJON,MA BOURGES,4,0,0,4,100.0%
,DISP DIJON,MA DIJON,5,0,0,11,45.5%
,DISP DIJON,MA TOURS,5,0,0,10,50.0%
,DISP DIJON,Total Direction,28,0,0,61,45.9%
,,Interrégionale,,,,,
,DISP LILLE,CP LAON,6,0,0,15,40.0%
,DISP LILLE,CP LIANCOURT,17,0,0,20,85.0%
,DISP LILLE,CP LONGUENESSE,12,0,0,20,60.0%
,DISP LILLE,EPM QUIEVRECHAIN,53,0,1,59,91.5%
,DISP LILLE,Total Direction,88,0,1,114,78.1%
,,Interrégionale,,,,,
,DISP LYON,CP GRENOBLE VARCES,13,0,0,20,65.0%
,DISP LYON,CP MOULINS YZEURE,8,0,0,8,100.0%
,DISP LYON,EPM RHONE,44,0,3,60,78.3%
,DISP LYON,MA BONNEVILLE,4,0,0,18,22.2%
,DISP LYON,MA LYON CORBAS,0,8,0,0,–
1,,,,,,,
,Certains mineurs écroués peuvent être temporairement hébergés en dehors des places mineurs pour des raisons de,,,,,,
"santé : ils peuvent alors être placés en centre hospitalier, en unité hospitalière sécurisée interrégionale (UHSI), en unité",,,,,,,
"hospitalière spécialement aménagée (UHSA), en service médico-psychologique régional (SMPR) ou en établissement",,,,,,,
public de santé national (EPSN).,,,,,,,
2,,,,,,,
,,Le taux d’occupation des places mineurs est calculé selon le ratio suivant : (mineurs détenus sur places mineurs +,,,,,
,majeurs détenus sur places mineurs) / places mineurs.,,,,,,
