,,,Mineurs,Mineurs,,,
,,,écroués,écroués,Jeunes majeurs sur,,Taux
,,,détenus sur,détenus,des places mineurs,,d’occupation
,Direction,,des places,hors places,(uniquement pour,Places,des places
,Interrégionale,Etablissement,mineurs,mineurs,les EPM),mineurs,mineurs
,DISP,CP BORDEAUX,22,0,0,23,95.7%
,BORDEAUX,GRADIGNAN,,,,,
,DISP,MA ANGOULEME,3,0,0,9,33.3%
,BORDEAUX,,,,,,
,DISP,MA LIMOGES,8,0,0,10,80.0%
,BORDEAUX,,,,,,
,DISP,MA PAU,6,0,0,5,120.0%
,BORDEAUX,,,,,,
,DISP,Total Direction,39,0,0,47,83.0%
,BORDEAUX,Interrégionale,,,,,
,DISP DIJON,CP VARENNES LE,8,0,0,15,53.3%
,,GRAND,,,,,
,DISP DIJON,CSL BESANCON,0,0,0,1,0.0%
,DISP DIJON,MA BESANCON,8,0,0,20,40.0%
,DISP DIJON,MA BOURGES,1,0,0,4,25.0%
,DISP DIJON,MA DIJON,5,0,0,11,45.5%
,DISP DIJON,MA TOURS,5,0,0,10,50.0%
,DISP DIJON,Total Direction,27,0,0,61,44.3%
,,Interrégionale,,,,,
,DISP LILLE,CP LAON,8,0,0,15,53.3%
,DISP LILLE,CP LIANCOURT,14,0,0,20,70.0%
,DISP LILLE,CP LILLE LOOS,0,2,0,0,–
,,SEQUEDIN,,,,,
,DISP LILLE,CP LONGUENESSE,5,0,0,20,25.0%
,DISP LILLE,EPM QUIEVRECHAIN,36,0,1,59,62.7%
,DISP LILLE,Total Direction,63,2,1,114,56.1%
,,Interrégionale,,,,,
,DISP LYON,CP GRENOBLE VARCES,12,0,0,20,60.0%
1,,,,,,,
,Certains mineurs écroués peuvent être temporairement hébergés en dehors des places mineurs pour des raisons de,,,,,,
,"santé : ils peuvent alors être placés en centre hospitalier, en unité hospitalière sécurisée interrégionale (UHSI), en unité",,,,,,
,"hospitalière spécialement aménagée (UHSA), en service médico-psychologique régional (SMPR) ou en établissement",,,,,,
,public de santé national (EPSN).,,,,,,
2,,,,,,,
,,Il est à noter que certains taux d’occupation des établissements et quartiers mineurs peuvent être surestimés en raison,,,,,
,d’une déclaration incorrecte de son âge par la personne écrouée lors de sa mise sous écrou.,,,,,,
3,,,,,,,
,,Le taux d’occupation des places mineurs est calculé selon le ratio suivant : (mineurs détenus sur places mineurs +,,,,,
,majeurs détenus sur places mineurs) / places mineurs.,,,,,,
