,,,Mineurs,Mineurs,,,
,,,écroués,écroués,Jeunes majeurs sur,,Taux
,,,détenus sur,détenus,des places mineurs,,d’occupation
,Direction,,des places,hors places,(uniquement pour,Places,des places
,Interrégionale,Etablissement,mineurs,mineurs,les EPM),mineurs,mineurs
,DISP,CP BORDEAUX,23,0,0,23,100.0%
,BORDEAUX,GRADIGNAN,,,,,
,DISP,MA ANGOULEME,3,0,0,4,75.0%
,BORDEAUX,,,,,,
,DISP,MA LIMOGES,4,0,0,10,40.0%
,BORDEAUX,,,,,,
,DISP,MA PAU,4,0,0,5,80.0%
,BORDEAUX,,,,,,
,DISP,Total Direction,34,0,0,42,81.0%
,BORDEAUX,Interrégionale,,,,,
,DISP DIJON,CP VARENNES LE,7,0,0,16,43.8%
,,GRAND,,,,,
,DISP DIJON,CSL BESANCON,0,0,0,1,0.0%
,DISP DIJON,MA BESANCON,7,0,0,20,35.0%
,DISP DIJON,MA BOURGES,1,0,0,4,25.0%
,DISP DIJON,MA DIJON,10,0,0,11,90.9%
,DISP DIJON,MA TOURS,5,0,0,10,50.0%
,DISP DIJON,Total Direction,30,0,0,62,48.4%
,,Interrégionale,,,,,
,DISP LILLE,CP LAON,7,0,0,14,50.0%
,DISP LILLE,CP LIANCOURT,7,0,0,20,35.0%
,DISP LILLE,CP LONGUENESSE,3,0,0,20,15.0%
,DISP LILLE,EPM QUIEVRECHAIN,41,0,3,59,74.6%
,DISP LILLE,Total Direction,58,0,3,113,54.0%
,,Interrégionale,,,,,
,DISP LYON,CP GRENOBLE VARCES,18,0,0,20,90.0%
,DISP LYON,CP MOULINS YZEURE,8,0,0,11,72.7%
,DISP LYON,EPM RHONE,39,0,0,60,65.0%
1,,,,,,,
,Certains mineurs écroués peuvent être temporairement hébergés en dehors des places mineurs pour des raisons de,,,,,,
,"santé : ils peuvent alors être placés en centre hospitalier, en unité hospitalière sécurisée interrégionale (UHSI), en unité",,,,,,
,"hospitalière spécialement aménagée (UHSA), en service médico-psychologique régional (SMPR) ou en établissement",,,,,,
,public de santé national (EPSN).,,,,,,
2,,,,,,,
,,Il est à noter que certains taux d’occupation des établissements et quartiers mineurs peuvent être surestimés en raison,,,,,
,d’une déclaration incorrecte de son âge par la personne écrouée.,,,,,,
3,,,,,,,
,,Le taux d’occupation des places mineurs est calculé selon le ratio suivant : (mineurs détenus sur places mineurs +,,,,,
,majeurs détenus sur places mineurs) / places mineurs.,,,,,,
