,,Mineurs,,,,
,,écroués,Mineurs,Jeunes majeurs,,
,,détenus,écroués,sur des places,,Taux
,,sur des,détenus,mineurs,,d’occupation
Direction,,places,hors places,(uniquement,Places,des places
Interrégionale,Etablissement,mineurs,mineurs,pour les EPM),mineurs,mineurs
DISP,CP BORDEAUX,16,0,0,23,69.6%
BORDEAUX,GRADIGNAN,,,,,
DISP,MA ANGOULEME,4,0,0,9,44.4%
BORDEAUX,,,,,,
DISP,MA LIMOGES,1,0,0,10,10.0%
BORDEAUX,,,,,,
DISP,MA PAU,3,0,0,5,60.0%
BORDEAUX,,,,,,
DISP,Total Direction,24,0,0,47,51.1%
BORDEAUX,Interrégionale,,,,,
DISP DIJON,CP VARENNES LE,4,0,0,16,25.0%
,GRAND,,,,,
DISP DIJON,CSL BESANCON,0,0,0,1,0.0%
DISP DIJON,MA BESANCON,12,0,0,20,60.0%
DISP DIJON,MA BOURGES,1,0,0,4,25.0%
DISP DIJON,MA DIJON,3,0,0,11,27.3%
DISP DIJON,MA TOURS,3,0,0,10,30.0%
DISP DIJON,Total Direction,23,0,0,62,37.1%
,Interrégionale,,,,,
DISP LILLE,CP LAON,4,0,0,14,28.6%
DISP LILLE,CP LIANCOURT,6,0,0,20,30.0%
1 2,Effectifs mineurs garçons et filles confondus.,,,,,
,Certains mineurs écroués peuvent être temporairement hébergés en dehors des places mineurs pour des,,,,,
