,,,Mineurs,Mineurs,,,
,,,écroués,écroués,Jeunes majeurs sur,,Taux
,,,détenus sur,détenus,des places mineurs,,d’occupation
,Direction,,des places,hors places,(uniquement pour,Places,des places
,Interrégionale,Etablissement,mineurs,mineurs,les EPM),mineurs,mineurs
,DISP,CP BORDEAUX,22,0,0,23,95.7%
,BORDEAUX,GRADIGNAN,,,,,
,DISP,MA ANGOULEME,5,0,0,9,55.6%
,BORDEAUX,,,,,,
,DISP,MA LIMOGES,7,0,0,10,70.0%
,BORDEAUX,,,,,,
,DISP,MA PAU,5,0,0,5,100.0%
,BORDEAUX,,,,,,
,DISP,Total Direction,39,0,0,47,83.0%
,BORDEAUX,Interrégionale,,,,,
,DISP DIJON,CP VARENNES LE,7,0,0,15,46.7%
,,GRAND,,,,,
,DISP DIJON,CSL BESANCON,0,0,0,1,0.0%
,DISP DIJON,MA BESANCON,8,0,0,20,40.0%
,DISP DIJON,MA BOURGES,3,0,0,4,75.0%
,DISP DIJON,MA DIJON,10,0,0,11,90.9%
,DISP DIJON,MA TOURS,3,0,0,10,30.0%
,DISP DIJON,Total Direction,31,0,0,61,50.8%
,,Interrégionale,,,,,
,DISP LILLE,CP LAON,7,0,0,15,46.7%
,DISP LILLE,CP LIANCOURT,14,0,0,20,70.0%
,DISP LILLE,CP LONGUENESSE,10,0,0,20,50.0%
,DISP LILLE,EPM QUIEVRECHAIN,47,0,0,59,79.7%
,DISP LILLE,Total Direction,78,0,0,114,68.4%
,,Interrégionale,,,,,
,DISP LYON,CP GRENOBLE VARCES,12,0,0,20,60.0%
,DISP LYON,CP MOULINS YZEURE,9,0,0,8,112.5%
,DISP LYON,EPM RHONE,45,0,3,60,80.0%
,DISP LYON,MA BONNEVILLE,8,0,0,18,44.4%
,DISP LYON,MA LYON CORBAS,0,6,0,0,–
1,,,,,,,
,Certains mineurs écroués peuvent être temporairement hébergés en dehors des places mineurs pour des raisons de,,,,,,
"santé : ils peuvent alors être placés en centre hospitalier, en unité hospitalière sécurisée interrégionale (UHSI), en unité",,,,,,,
"hospitalière spécialement aménagée (UHSA), en service médico-psychologique régional (SMPR) ou en établissement",,,,,,,
public de santé national (EPSN).,,,,,,,
2,,,,,,,
,,Le taux d’occupation des places mineurs est calculé selon le ratio suivant : (mineurs détenus sur places mineurs +,,,,,
,majeurs détenus sur places mineurs) / places mineurs.,,,,,,
