,,,Mineurs,Mineurs,,,
,,,écroués,écroués,Jeunes majeurs sur,,Taux
,,,détenus sur,détenus,des places mineurs,,d’occupation
,Direction,,des places,hors places,(uniquement pour,Places,des places
,Interrégionale,Etablissement,mineurs,mineurs,les EPM),mineurs,mineurs
,DISP,CP BORDEAUX,16,0,0,23,69.6%
,BORDEAUX,GRADIGNAN,,,,,
,DISP,MA ANGOULEME,6,0,0,9,66.7%
,BORDEAUX,,,,,,
,DISP,MA LIMOGES,4,0,0,10,40.0%
,BORDEAUX,,,,,,
,DISP,MA PAU,4,0,0,5,80.0%
,BORDEAUX,,,,,,
,DISP,Total Direction,30,0,0,47,63.8%
,BORDEAUX,Interrégionale,,,,,
,DISP DIJON,CP VARENNES LE,7,0,0,15,46.7%
,,GRAND,,,,,
,DISP DIJON,CSL BESANCON,0,0,0,1,0.0%
,DISP DIJON,MA BESANCON,3,0,0,20,15.0%
,DISP DIJON,MA BOURGES,1,0,0,4,25.0%
,DISP DIJON,MA DIJON,5,0,0,11,45.5%
,DISP DIJON,MA TOURS,7,0,0,10,70.0%
,DISP DIJON,Total Direction,23,0,0,61,37.7%
,,Interrégionale,,,,,
,DISP LILLE,CP LAON,7,0,0,15,46.7%
,DISP LILLE,CP LIANCOURT,15,0,0,20,75.0%
,DISP LILLE,CP LONGUENESSE,7,0,0,20,35.0%
,DISP LILLE,EPM QUIEVRECHAIN,45,0,2,59,79.7%
,DISP LILLE,Total Direction,74,0,2,114,66.7%
,,Interrégionale,,,,,
,DISP LYON,CP GRENOBLE VARCES,11,0,0,20,55.0%
,DISP LYON,CP MOULINS YZEURE,8,0,0,8,100.0%
,DISP LYON,EPM RHONE,47,0,0,60,78.3%
,DISP LYON,MA BONNEVILLE,4,0,0,18,22.2%
,DISP LYON,MA LYON CORBAS,0,5,0,0,–
1,,,,,,,
,Certains mineurs écroués peuvent être temporairement hébergés en dehors des places mineurs pour des raisons de santé,,,,,,
,": ils peuvent alors être placés en centre hospitalier, en unité hospitalière sécurisée interrégionale (UHSI), en unité",,,,,,
,"hospitalière spécialement aménagée (UHSA), en service médico-psychologique régional (SMPR) ou en établissement public",,,,,,
,de santé national (EPSN).,,,,,,
2,,,,,,,
,,Le taux d’occupation des places mineurs est calculé selon le ratio suivant : (mineurs détenus sur places mineurs + majeurs,,,,,
,détenus sur places mineurs) / places mineurs.,,,,,,
