,,Mineurs,,,,
,,écroués,Mineurs,Jeunes majeurs,,
,,détenus,écroués,sur des places,,Taux
,,sur des,détenus,mineurs,,d’occupation
Direction,,places,hors places,(uniquement,Places,des places
Interrégionale,Etablissement,mineurs,mineurs,pour les EPM),mineurs,mineurs
DISP,CP BORDEAUX,16,0,0,23,69.6%
BORDEAUX,GRADIGNAN,,,,,
DISP,MA ANGOULEME,8,0,0,9,88.9%
BORDEAUX,,,,,,
DISP,MA LIMOGES,2,0,0,10,20.0%
BORDEAUX,,,,,,
DISP,MA PAU,5,0,0,5,100.0%
BORDEAUX,,,,,,
DISP,Total Direction,31,0,0,47,66.0%
BORDEAUX,Interrégionale,,,,,
DISP DIJON,CP VARENNES LE,10,0,0,16,62.5%
,GRAND,,,,,
DISP DIJON,CSL BESANCON,0,0,0,1,0.0%
DISP DIJON,MA BESANCON,7,0,0,20,35.0%
DISP DIJON,MA BOURGES,4,0,0,4,100.0%
DISP DIJON,MA DIJON,13,0,0,11,118.2%
DISP DIJON,MA TOURS,8,0,0,10,80.0%
DISP DIJON,Total Direction,42,0,0,62,67.7%
,Interrégionale,,,,,
DISP LILLE,CP LAON,6,0,0,14,42.9%
DISP LILLE,CP LIANCOURT,3,0,0,20,15.0%
