,,,Mineurs,,,,
,,,écroués,Mineurs,Jeunes majeurs,,
,,,détenus,écroués,sur des places,,Taux
,,,sur des,détenus,mineurs,,d’occupation
,Direction,,places,hors places,(uniquement,Places,des places
,Interrégionale,Etablissement,mineurs,mineurs,pour les EPM),mineurs,mineurs
,DISP,CP BORDEAUX,18,0,0,23,78.3%
,BORDEAUX,GRADIGNAN,,,,,
,DISP,MA ANGOULEME,7,0,0,4,175.0%
,BORDEAUX,,,,,,
,DISP,MA LIMOGES,2,0,0,10,20.0%
,BORDEAUX,,,,,,
,DISP,MA PAU,5,0,0,5,100.0%
,BORDEAUX,,,,,,
,DISP,Total Direction,32,0,0,42,76.2%
,BORDEAUX,Interrégionale,,,,,
,DISP DIJON,CP VARENNES LE,9,0,0,16,56.2%
,,GRAND,,,,,
,DISP DIJON,CSL BESANCON,0,0,0,1,0.0%
,DISP DIJON,MA BESANCON,7,0,0,20,35.0%
,DISP DIJON,MA BOURGES,2,0,0,4,50.0%
,DISP DIJON,MA DIJON,9,0,0,11,81.8%
,DISP DIJON,MA TOURS,6,0,0,10,60.0%
,DISP DIJON,Total Direction,33,0,0,62,53.2%
,,Interrégionale,,,,,
,DISP LILLE,CP LAON,7,0,0,14,50.0%
,DISP LILLE,CP LIANCOURT,4,0,0,20,20.0%
,DISP LILLE,CP LONGUENESSE,7,0,0,20,35.0%
1,,,,,,,
,Certains mineurs écroués peuvent être temporairement hébergés en dehors des places mineurs pour des,,,,,,
"raisons de santé : ils peuvent alors être placés en centre hospitalier, en unité hospitalière sécurisée",,,,,,,
